CODIGO SOPORTE;TIPO SOPORTE;CODIGO J.M.;DISTRITO;VIAL;DIRECCION;NUMERO;COORD X UTM ETRS89;COORD Y UTM ETRS89;FECHA PUESTA EN SERVICIO;LONGITUD;LATITUD;NOMBRE
080596MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;GINZO DE LIMIA ;2;440418.25;4480856.68;28/06/2023;-3.7029129;40.4762585;CALLE GINZO DE LIMIA , 2
080597MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;GINZO DE LIMIA;27;440329.82;4481037.75;29/11/2016;-3.7039731;40.4778833;CALLE GINZO DE LIMIA,27
080600MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;AVENIDA;MONFORTE DE LEMOS;101;440287.23;4481180.24;09/01/2017;-3.7044889;40.4791638;AVENIDA MONFORTE DE LEMOS,101
080601MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;MONASTERIO DE SILOS;63;441047.72;4484075.10;27/02/2017;-3.6957867;40.5052961;CALLE MONASTERIO DE SILOS,63
080604MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;MARCOS DE ORUETA ;1;441919.04;4481766.23;23/06/2021;-3.6852919;40.4845584;CALLE MARCOS DE ORUETA , 1
080606MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;AFUERAS DE VALVERDE;1;441822.14;4483351.72;01/08/2018;-3.6865807;40.4988343;CALLE AFUERAS DE VALVERDE,1
080615MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;MONASTERIO DE SUSO Y YUSO;35;440905.97;4483804.16;24/01/2017;-3.6974343;40.5028453;CALLE MONASTERIO DE SUSO Y YUSO,35
150539MPP;MUPI PILAS;8;FUENCARRAL - EL PARDO;CALLE;GINZO DE LIMIA;45;440235.86;4481410.87;25/10/2023;-3.7051167;40.4812377;CALLE GINZO DE LIMIA, 45
020053MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;PRINCESA ;89;438972.57;4476268.64;26/04/2017;-3.7195259;40.4348227;CALLE PRINCESA ,89
061153MPP;MUPI PILAS;9;MONCLOA - ARAVACA;AVENIDA;REINA VICTORIA;36;439743.59;4477612.44;25/10/2016;-3.7105636;40.4469844;AVENIDA REINA VICTORIA,36
090741MPP;MUPI PILAS;9;MONCLOA - ARAVACA;AVENIDA;PABLO IGLESIA ;43;439790.23;4477890.69;07/11/2016;-3.71004;40.4494944;AVENIDA PABLO IGLESIA ,43
090743MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;OFELIA NIETO ;1;439677.80;4478810.77;07/11/2016;-3.7114532;40.4577747;CALLE OFELIA NIETO ,1
090745MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;ANTONIO MACHADO;1;439006.29;4479333.20;22/11/2016;-3.7194227;40.4624319;CALLE ANTONIO MACHADO,1
090746MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;ANTONIO MACHADO ;51;438995.73;4479931.25;07/11/2016;-3.7196048;40.4678186;CALLE ANTONIO MACHADO ,51
090749MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;ARCIPRESTE DE HITA   ;10;439127.25;4476133.80;04/10/2016;-3.7176894;40.4336193;CALLE ARCIPRESTE DE HITA   ,10
090750MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;BARDEGUERAL;18;434566.34;4477980.46;02/11/2016;-3.7716483;40.4499083;CALLE BARDEGUERAL,18
090752MPP;MUPI PILAS;9;MONCLOA - ARAVACA;AVENIDA;OSA MAYOR;82;433512.27;4479017.75;03/11/2016;-3.7841863;40.4591688;AVENIDA OSA MAYOR,82
090755MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;FERRAZ ;20;439267.73;4475157.75;10/10/2016;-3.7159401;40.4248369;CALLE FERRAZ ,20
090759MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;MARQUÉS DE URQUIJO;28;438969.67;4475698.20;12/10/2016;-3.7195053;40.4296837;CALLE MARQUÉS DE URQUIJO,28
090763MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;PRINCESA;65;439175.37;4475909.13;04/10/2016;-3.7171006;40.4315989;CALLE PRINCESA,65
090765MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;PRINCESA;17;439499.82;4475302.47;29/09/2016;-3.713218;40.4261575;CALLE PRINCESA,17
090767MPP;MUPI PILAS;9;MONCLOA - ARAVACA;CALLE;SAN POL DE MAR;6;438272.06;4475066.50;10/10/2016;-3.7276677;40.4239416;CALLE SAN POL DE MAR,6
090779MPP;MUPI PILAS;9;MONCLOA - ARAVACA;PASEO;JUAN XXIII ;16;439093.29;4477596.97;19/12/2016;-3.7182301;40.4467977;PASEO JUAN XXIII ,16
090781MPP;MUPI PILAS;9;MONCLOA - ARAVACA;PASEO;PINTOR ROSALES;70;438594.65;4475882.63;11/10/2016;-3.7239441;40.4313175;PASEO PINTOR ROSALES,70
090782MPP;MUPI PILAS;9;MONCLOA - ARAVACA;PASEO;PINTOR ROSALES ;46;438798.65;4475605.13;23/01/2017;-3.7215124;40.4288327;PASEO PINTOR ROSALES ,46
130876MPP;MUPI PILAS;9;MONCLOA - ARAVACA;PASEO;PINTOR ROSALES;28;438961.10;4475381.72;29/12/2016;-3.719576;40.4268321;PASEO PINTOR ROSALES,28
100690MPP;MUPI PILAS;10;LATINA;AVENIDA;AGUILAS;99;434081.21;4470421.30;06/04/2017;-3.7765855;40.3817746;AVENIDA AGUILAS,99
100692MPP;MUPI PILAS;10;LATINA;AVENIDA;PADRE PIQUER ;9;434825.12;4471812.51;22/11/2016;-3.7679646;40.3943657;AVENIDA PADRE PIQUER ,9
100696MPP;MUPI PILAS;10;LATINA;AVENIDA;RAFAEL FINAT;41;434784.91;4470296.25;19/12/2016;-3.7682832;40.3807034;AVENIDA RAFAEL FINAT,41
100700MPP;MUPI PILAS;10;LATINA;CALLE;HIGUERAS;47;436753.15;4472974.18;02/11/2016;-3.7453637;40.4049791;CALLE HIGUERAS,47
100702MPP;MUPI PILAS;10;LATINA;CALLE;BLAS CABRERA;54;434448.31;4469936.70;28/11/2016;-3.7722113;40.3774381;CALLE BLAS CABRERA,54
100704MPP;MUPI PILAS;10;LATINA;CALLE;OCAÑA;151;436132.23;4470992.47;22/11/2016;-3.7524818;40.3870797;CALLE OCAÑA,151
100705MPP;MUPI PILAS;10;LATINA;CALLE;OLIVA DE PLASENCIA;14;433896.74;4470066.36;13/12/2016;-3.7787217;40.3785625;CALLE OLIVA DE PLASENCIA,14
100708MPP;MUPI PILAS;10;LATINA;CALLE;VALMOJADO;43;435749.44;4472125.85;22/11/2016;-3.7571058;40.3972602;CALLE VALMOJADO,43
100709MPP;MUPI PILAS;10;LATINA;CALLE;VALMOJADO;275;435574.59;4471052.74;22/11/2016;-3.7590574;40.3875797;CALLE VALMOJADO,275
100710MPP;MUPI PILAS;10;LATINA;CALLE;VALMOJADO;119;435635.54;4471600.09;19/12/2016;-3.7583947;40.3925151;CALLE VALMOJADO,119
100712MPP;MUPI PILAS;10;LATINA;CALLE;VALMOJADO;231;435609.37;4471188.14;01/12/2016;-3.7586614;40.3888021;CALLE VALMOJADO,231
100719MPP;MUPI PILAS;10;LATINA;CALLE;FUENTE DEL TIRO ;72;433826.74;4470559.43;02/12/2016;-3.7795975;40.3829987;CALLE FUENTE DEL TIRO ,72
100724MPP;MUPI PILAS;10;LATINA;PASEO;EXTREMADURA;111;437641.46;4473653.20;15/12/2016;-3.7349623;40.411163;PASEO EXTREMADURA,111
100725MPP;MUPI PILAS;10;LATINA;PASEO;MARQUÉS DE MONISTROL;1;438550.85;4473992.29;28/11/2016;-3.7242777;40.4142853;PASEO MARQUÉS DE MONISTROL,1
100727MPP;MUPI PILAS;10;LATINA;PASEO;HÚSARES;46;432730.97;4470068.06;30/12/2016;-3.7924539;40.3784846;PASEO HÚSARES,46
100729MPP;MUPI PILAS;10;LATINA;PASEO;ERMITA DEL SANTO;44;438582.03;4473385.14;19/12/2016;-3.7238516;40.4088181;PASEO ERMITA DEL SANTO,44
100733MPP;MUPI PILAS;10;LATINA;CALLE;VÍA CARPETANA;322;436983.36;4471520.18;02/11/2016;-3.7425069;40.3918983;CALLE VÍA CARPETANA,322
110091MPP;MUPI PILAS;11;CARABANCHEL;CAMINO;INGENIEROS;1;436752.65;4471072.70;27/03/2017;-3.7451807;40.3878497;CAMINO INGENIEROS,1
110094MPP;MUPI PILAS;11;CARABANCHEL;AVENIDA;ABRANTES;122;437640.51;4469732.11;27/01/2017;-3.7345895;40.37584;AVENIDA ABRANTES,122
110096MPP;MUPI PILAS;11;CARABANCHEL;AVENIDA;OPORTO;11;438758.12;4470739.01;03/01/2017;-3.7215219;40.3849935;AVENIDA OPORTO,11
110102MPP;MUPI PILAS;11;CARABANCHEL;AVENIDA;OPORTO;56;438373.71;4470835.25;03/01/2017;-3.7260598;40.3858322;AVENIDA OPORTO,56
110103MPP;MUPI PILAS;11;CARABANCHEL;AVENIDA;OPORTO;2;439023.53;4470770.03;24/01/2017;-3.7183982;40.3852924;AVENIDA OPORTO,2
110104MPP;MUPI PILAS;11;CARABANCHEL;AVENIDA;OPORTO;22;438726.11;4470772.02;11/11/2016;-3.7219022;40.3852885;AVENIDA OPORTO,22
110109MPP;MUPI PILAS;11;CARABANCHEL;CALLE;ANTONIO LÓPEZ;51;439757.52;4471849.10;19/10/2016;-3.7098534;40.3950666;CALLE ANTONIO LÓPEZ,51
110110MPP;MUPI PILAS;11;CARABANCHEL;CALLE;ANTONIO LEYVA;73;439175.99;4471095.58;07/12/2016;-3.7166332;40.3882363;CALLE ANTONIO LEYVA,73
110115MPP;MUPI PILAS;11;CARABANCHEL;CALLE;OCA;88;437033.45;4471148.70;22/12/2016;-3.7418801;40.3885556;CALLE OCA,88
110116MPP;MUPI PILAS;11;CARABANCHEL;CALLE;OCA;23;437624.52;4471278.19;07/12/2016;-3.7349292;40.3897666;CALLE OCA,23
110118MPP;MUPI PILAS;11;CARABANCHEL;CALLE;OCA;65;437222.04;4471179.94;07/12/2016;-3.7396613;40.3888513;CALLE OCA,65
110120MPP;MUPI PILAS;11;CARABANCHEL;CALLE;EUGENIA DE MONTIJO;65;436476.54;4469975.05;09/11/2016;-3.7483241;40.3779406;CALLE EUGENIA DE MONTIJO,65
110121MPP;MUPI PILAS;11;CARABANCHEL;CALLE;EUGENIA DE MONTIJO;76;436575.78;4470110.33;07/12/2016;-3.7471686;40.3791668;CALLE EUGENIA DE MONTIJO,76
110126MPP;MUPI PILAS;11;CARABANCHEL;CALLE;GENERAL RICARDOS;138;438176.53;4471364.21;15/12/2016;-3.7284341;40.3905827;CALLE GENERAL RICARDOS,138
110130MPP;MUPI PILAS;11;CARABANCHEL;CALLE;GENERAL RICARDOS;183;437042.66;4470526.02;09/11/2016;-3.74171;40.382947;CALLE GENERAL RICARDOS,183
110137MPP;MUPI PILAS;11;CARABANCHEL;CALLE;GENERAL RICARDOS;44;438850.77;4471880.85;09/11/2016;-3.7205401;40.3952866;CALLE GENERAL RICARDOS,44
110139MPP;MUPI PILAS;11;CARABANCHEL;CALLE;GENERAL  RICARDOS;8;439149.28;4472094.01;09/11/2016;-3.7170433;40.3972287;CALLE GENERAL  RICARDOS,8
110141MPP;MUPI PILAS;11;CARABANCHEL;CALLE;NUESTRA SEÑORA DE LA LUZ;39;436579.18;4470657.89;02/11/2016;-3.747183;40.3840998;CALLE NUESTRA SEÑORA DE LA LUZ,39
110148MPP;MUPI PILAS;11;CARABANCHEL;GLORIETA;VALLE DEL ORO;2;437934.40;4471131.42;09/01/2017;-3.7312641;40.3884676;GLORIETA VALLE DEL ORO,2
110154MPP;MUPI PILAS;11;CARABANCHEL;PLAZA;DE LA EMPERATRIZ;9;436214.53;4469559.84;14/11/2016;-3.751327;40.373486;PLAZA DE LA EMPERATRIZ, 9
121223MPP;MUPI PILAS;12;USERA;CALLE;EDUARDO BARREIROS ;S/N;440885.06;4469129.71;22/11/2016;-3.6963159;40.3706497;CALLE EDUARDO BARREIROS ,S/N
121225MPP;MUPI PILAS;12;USERA;AVENIDA;RAFAELA YBARRA;39;439618.64;4470484.99;01/12/2016;-3.7113604;40.382768;AVENIDA RAFAELA YBARRA,39
121226MPP;MUPI PILAS;12;USERA;AVENIDA;DE LOS ROSALES;14;441123.62;4468877.51;17/11/2016;-3.6934828;40.3683946;AVENIDA DE LOS ROSALES,14
121229MPP;MUPI PILAS;12;USERA;CALLE;ANTONIO LÓPEZ;154;440486.95;4471267.35;25/10/2016;-3.7012045;40.3898784;CALLE ANTONIO LÓPEZ,154
121232MPP;MUPI PILAS;12;USERA;CALLE;GUETARIA;47;439253.81;4468970.05;28/11/2016;-3.7155138;40.3690941;CALLE GUETARIA,47
121234MPP;MUPI PILAS;12;USERA;CALLE;MANUEL NOYÁ;10;439538.36;4471133.65;02/07/2025;-3.712328;40.387911;CALLE MANUEL NOYÁ,10
121235MPP;MUPI PILAS;12;USERA;CALLE;MARCELO USERA;161;439299.92;4470747.36;11/11/2016;-3.71514;40.3851084;CALLE MARCELO USERA,161
121237MPP;MUPI PILAS;12;USERA;CALLE;MARCELO USERA;145;439556.60;4470744.49;11/11/2016;-3.7121159;40.3851012;CALLE MARCELO USERA,145
121241MPP;MUPI PILAS;12;USERA;CALLE;MARCELO USERA ;78;440091.62;4470827.90;22/11/2016;-3.7058208;40.3858913;CALLE MARCELO USERA ,78
121249MPP;MUPI PILAS;12;USERA;AVENIDA;RAFAELA YBARRA ;93;439515.16;4469403.68;03/01/2017;-3.7124768;40.3730195;AVENIDA RAFAELA YBARRA ,93
121250MPP;MUPI PILAS;12;USERA;AVENIDA;LOS POBLADOS;154;440530.44;4469160.97;17/11/2016;-3.7004956;40.3709061;AVENIDA LOS POBLADOS,154
130830MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVDA;ALBUFERA;2;443223.83;4472189.85;25/11/2016;-3.669042;40.3983798;AVDA ALBUFERA,2
130832MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;BUENOS AIRES;65;444583.66;4470601.76;08/11/2016;-3.6528808;40.384165;AVENIDA BUENOS AIRES,65
130834MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;270;445710.94;4470895.85;04/01/2017;-3.6396257;40.3868885;AVENIDA ALBUFERA,270
130835MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;87;443820.54;4471763.03;08/11/2016;-3.6619732;40.3945753;AVENIDA ALBUFERA,87
130836MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;246;445210.72;4471208.77;19/12/2016;-3.6455458;40.3896747;AVENIDA ALBUFERA,246
130848MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;51;443573.35;4471937.40;07/11/2016;-3.6649012;40.3961294;AVENIDA ALBUFERA,51
130849MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;153;444351.28;4471451.13;10/07/2018;-3.6556926;40.3918011;AVENIDA ALBUFERA,153
130850MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;246;445116.77;4471263.59;24/11/2016;-3.6466574;40.3901624;AVENIDA ALBUFERA,246
130851MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;179;444457.51;4471436.30;04/11/2016;-3.6544397;40.3916746;AVENIDA ALBUFERA,179
130854MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;ALBUFERA;57;443611.41;4471910.79;08/11/2016;-3.6644504;40.3958922;AVENIDA ALBUFERA,57
130863MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;PABLO NERUDA;99;443663.28;4470381.74;15/12/2016;-3.663704;40.3821212;AVENIDA PABLO NERUDA,99
130865MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;PABLO NERUDA;96;445062.69;4470694.75;24/11/2016;-3.6472455;40.3850344;AVENIDA PABLO NERUDA,96
130866MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;RAFAEL ALBERTI;43;445406.89;4470580.12;24/11/2016;-3.6431807;40.3840244;AVENIDA RAFAEL ALBERTI,43
130868MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;RAFAEL ALBERTI;26;445538.33;4470805.36;24/11/2016;-3.6416515;40.3860621;AVENIDA RAFAEL ALBERTI,26
130869MPP;MUPI PILAS;13;PUENTE DE VALLECAS;CALLE;LUIS BUÑUEL;1;445275.18;4470989.20;04/01/2017;-3.6447675;40.387701;CALLE LUIS BUÑUEL,1
130871MPP;MUPI PILAS;13;PUENTE DE VALLECAS;CALLE;CARLOS SOLÉ;1;444808.15;4471793.01;28/11/2016;-3.6503394;40.3949114;CALLE CARLOS SOLÉ,1
130878MPP;MUPI PILAS;13;PUENTE DE VALLECAS;AVENIDA;BUENOS AIRES;48;444555.07;4470900.73;10/11/2016;-3.6532436;40.3868564;AVENIDA BUENOS AIRES,48
130882MPP;MUPI PILAS;13;PUENTE DE VALLECAS;CALLE;RAMÓN PÉREZ DE AYALA;148;444586.34;4472125.43;25/11/2016;-3.6529818;40.3978913;CALLE RAMÓN PÉREZ DE AYALA,148
130883MPP;MUPI PILAS;13;PUENTE DE VALLECAS;CALLE;SAN CLAUDIO;1;445464.42;4471307.14;25/11/2016;-3.6425652;40.3905776;CALLE SAN CLAUDIO,1
130884MPP;MUPI PILAS;13;PUENTE DE VALLECAS;CALLE;ARROYO DEL OLIVAR;100;444127.91;4471321.47;10/11/2016;-3.6583129;40.3906181;CALLE ARROYO DEL OLIVAR,100
140787MPP;MUPI PILAS;14;MORATALAZ;AVENIDA;MORATALAZ;164;445220.40;4473204.24;30/11/2016;-3.6456035;40.4076518;AVENIDA MORATALAZ,164
140789MPP;MUPI PILAS;14;MORATALAZ;AVENIDA;DOCTOR GARCÍA TAPIADIR VICÁLVARO;62;444518.70;4473722.02;18/11/2016;-3.653918;40.4122698;AVENIDA DOCTOR GARCÍA TAPIADIR VICÁLVARO,62
140790MPP;MUPI PILAS;14;MORATALAZ;CALLE;CORREGIDOR DIEGO DE VALDERRÁBANO ;74;444178.60;4473867.15;18/11/2016;-3.657939;40.4135545;CALLE CORREGIDOR DIEGO DE VALDERRÁBANO ,74
140799MPP;MUPI PILAS;14;MORATALAZ;CALLE;ARROYO DE LA MEDIA LEGUA;2;444149.76;4473189.20;16/02/2018;-3.6582194;40.4074452;CALLE ARROYO DE LA MEDIA LEGUA,2
140800MPP;MUPI PILAS;14;MORATALAZ;CALLE;ARROYO DE LAS PILILLAS;10;444657.19;4473166.57;30/11/2016;-3.6522375;40.4072752;CALLE ARROYO DE LAS PILILLAS,10
140806MPP;MUPI PILAS;14;MORATALAZ;CALLE;FUENTE CARRANTONA;20;446238.13;4472858.80;26/09/2016;-3.6335805;40.4046062;CALLE FUENTE CARRANTONA,20
140807MPP;MUPI PILAS;14;MORATALAZ;CALLE;FUENTE CARRANTONA;6;445883.14;4472176.88;23/09/2016;-3.6377059;40.39844;CALLE FUENTE CARRANTONA,6
140811MPP;MUPI PILAS;14;MORATALAZ;CALLE;HACIENDA DE PAVONES;1;444785.06;4472953.72;30/11/2016;-3.6507121;40.4053662;CALLE HACIENDA DE PAVONES,1
140812MPP;MUPI PILAS;14;MORATALAZ;CALLE;MANUEL MACHADO;6;444052.68;4473637.68;27/01/2017;-3.6594028;40.4114788;CALLE MANUEL MACHADO,6
140816MPP;MUPI PILAS;14;MORATALAZ;CALLE;CAMINO DE LOS VINATEROS;119;445337.76;4473094.92;02/12/2016;-3.644211;40.4066747;CALLE CAMINO DE LOS VINATEROS,119
140822MPP;MUPI PILAS;14;MORATALAZ;CALLE;CAMINO DE LOS VINATEROS;70;444643.11;4473490.28;19/11/2016;-3.6524316;40.4101904;CALLE CAMINO DE LOS VINATEROS,70
140825MPP;MUPI PILAS;14;MORATALAZ;CALLE;CAMINO DE LOS VINATEROS;3;444138.10;4473562.75;18/11/2016;-3.6583896;40.4108095;CALLE CAMINO DE LOS VINATEROS,3
140829MPP;MUPI PILAS;14;MORATALAZ;CALLE;PICO DE LOS ARTILLEROS;156;445417.12;4472639.40;30/11/2016;-3.6432367;40.4025763;CALLE PICO DE LOS ARTILLEROS,156
210084MPP;MUPI PILAS;14;MORATALAZ;CALLE;ARROYO FONTARRON;325;445751.90;4471912.03;26/04/2018;-3.6392297;40.3960456;CALLE ARROYO FONTARRON,325
150472MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;TORRELAGUNA;61;444562.53;4477084.37;13/09/2016;-3.6536946;40.4425626;CALLE TORRELAGUNA,61
150473MPP;MUPI PILAS;15;CIUDAD LINEAL;AVENIDA;SAN LUIS;166;443075.28;4481164.10;31/08/2016;-3.6715964;40.4792142;AVENIDA SAN LUIS,166
150484MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;414;445808.41;4476506.89;19/09/2016;-3.6389553;40.4374425;CALLE ALCALÁ,414
150485MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;290;444743.37;4475974.38;20/05/2021;-3.6514658;40.4325752;CALLE ALCALÁ,290
150498MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;391;445593.09;4476391.82;13/12/2016;-3.6414841;40.4363918;CALLE ALCALÁ,391
150499MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;369;445353.27;4476244.54;06/08/2018;-3.6442989;40.4350493;CALLE ALCALÁ,369
150505MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;318;445028.95;4476027.91;13/09/2016;-3.6481037;40.4330764;CALLE ALCALÁ,318
150507MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ALCALÁ;334;445197.42;4476128.08;13/09/2016;-3.6461262;40.4339899;CALLE ALCALÁ,334
150517MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;169;444221.49;4478705.39;06/09/2016;-3.6578581;40.4571428;CALLE ARTURO SORIA,169
150522MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;312;443340.15;4480870.04;06/09/2016;-3.6684454;40.4765833;CALLE ARTURO SORIA,312
150524MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;154;444517.65;4478309.13;12/12/2016;-3.6543308;40.4535929;CALLE ARTURO SORIA,154
150526MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;38;445674.87;4476984.28;12/12/2016;-3.6405706;40.4417343;CALLE ARTURO SORIA,38
150529MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;121;444562.54;4478197.77;01/09/2016;-3.6537917;40.4525927;CALLE ARTURO SORIA,121
150530MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ARTURO SORIA;236;443602.26;4479508.83;05/09/2016;-3.6652323;40.4643387;CALLE ARTURO SORIA,236
150543MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;ASCAO;14;445607.35;4475662.34;14/09/2016;-3.6412536;40.4298212;CALLE ASCAO,14
150553MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;JOSÉ SILVA;19;444062.41;4478369.51;06/09/2016;-3.6597046;40.4541063;CALLE JOSÉ SILVA,19
150554MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;MARQUÉS DE CORBERA;8;444348.69;4474864.91;16/09/2016;-3.6560216;40.4225542;CALLE MARQUÉS DE CORBERA,8
150557MPP;MUPI PILAS;15;CIUDAD LINEAL;CALLE;RICARDO ORTIZ;1;444236.86;4475751.04;14/09/2016;-3.6574175;40.4305295;CALLE RICARDO ORTIZ,1
160620MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;INGENIERO EMILIO HERRERA;2;444136.30;4481983.73;12/01/2017;-3.6591515;40.4866699;AVENIDA INGENIERO EMILIO HERRERA,2
160625MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;ANDES;10;447169.87;4478362.72;12/01/2017;-3.6230581;40.4542485;AVENIDA ANDES,10
160635MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;MACHUPICHU;69;446371.27;4479081.33;12/01/2017;-3.6325366;40.4606709;AVENIDA MACHUPICHU,69
160638MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;MANOTERAS;55;444136.68;4482025.21;17/01/2017;-3.6591507;40.4870436;AVENIDA MANOTERAS,55
160639MPP;MUPI PILAS;16;HORTALEZA;CALLE;MARIA DE PORTUGAL;15;444142.79;4483472.09;11/01/2017;-3.6592061;40.5000781;CALLE MARIA DE PORTUGAL,15
160644MPP;MUPI PILAS;16;HORTALEZA;CALLE;AYACUCHO;12;445837.77;4480072.84;22/12/2016;-3.6389134;40.4695684;CALLE AYACUCHO,12
160654MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;INGENIERO EMILIO HERRERA;2;443988.60;4481818.25;13/01/2017;-3.6608795;40.4851692;AVENIDA INGENIERO EMILIO HERRERA,2
160655MPP;MUPI PILAS;16;HORTALEZA;CALLE;LÓPEZ DE HOYOS;409;444950.69;4480399.72;06/09/2016;-3.6494054;40.4724547;LOPEZ DE HOYOS, 409
160661MPP;MUPI PILAS;16;HORTALEZA;CALLE;MAR CASPIO;10;445415.55;4480491.21;18/10/2021;-3.6439297;40.4733096;CALLE MAR CASPIO, 10
160663MPP;MUPI PILAS;16;HORTALEZA;CALLE;MARÍA DE PORTUGAL;26;444093.74;4483416.71;13/12/2016;-3.6597801;40.4995759;CALLE MARÍA DE PORTUGAL,26
160668MPP;MUPI PILAS;16;HORTALEZA;CALLE;VALDETORRES DEL JARAMA;29;445485.72;4480156.25;14/08/2018;-3.6430732;40.4702967;CALLE VALDETORRES DEL JARAMA,29
160677MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;GRAN VÍA DE HORTALEZA;11;444501.65;4479794.63;12/01/2017;-3.6546493;40.4669739;AVENIDA GRAN VÍA DE HORTALEZA,11
160680MPP;MUPI PILAS;16;HORTALEZA;GLORIETA;MAR DE CRISTAL;2;445853.28;4480094.99;09/01/2017;-3.6387323;40.4697689;GLORIETA MAR DE CRISTAL,2
160682MPP;MUPI PILAS;16;HORTALEZA;AVENIDA;ANDES;4;446986.93;4478260.43;12/01/2017;-3.6252069;40.4533153;AVENIDA ANDES,4
160683MPP;MUPI PILAS;16;HORTALEZA;CALLE;SILVANO;133;446609.69;4479307.95;12/12/2016;-3.6297438;40.4627278;CALLE SILVANO,133
171296MPP;MUPI PILAS;17;VILLAVERDE;AVENIDA;FELICIDAD;1;441151.23;4467852.53;20/01/2017;-3.693063;40.359163;AVENIDA FELICIDAD,1
171297MPP;MUPI PILAS;17;VILLAVERDE;AVENIDA;OROVILLA;54;441434.03;4467803.88;30/11/2016;-3.6897283;40.3587446;AVENIDA OROVILLA,54
171299MPP;MUPI PILAS;17;VILLAVERDE;CALLE;DOCTOR MARTÍN ARÉVALO;29;440021.03;4466427.86;13/12/2016;-3.7062386;40.3462482;CALLE DOCTOR MARTÍN ARÉVALO,29
171300MPP;MUPI PILAS;17;VILLAVERDE;AVENIDA;REAL DE PINTO;2;440033.29;4466784.57;30/11/2016;-3.7061277;40.3494625;AVENIDA REAL DE PINTO,2
171302MPP;MUPI PILAS;17;VILLAVERDE;CALLE;DOMINGO PÁRRAGA;42;439532.28;4465949.76;10/01/2017;-3.7119478;40.3419059;CALLE DOMINGO PÁRRAGA,42
