Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
1005;;MARQUESINA MOD XXI 5-M REDUCIDA;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 102;DESP. C/ PICO DE ALBA;VILLA DE VALLECAS;ALBUFERA, AV Nº102 DESP. C/ PICO DE ALBA VILLA DE VALLECAS;444016;4471891;SI;54/58/136/N25/;443906,5143;4471683,449;-3,660953248;40,39386413
1008;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 143;FTE ESTADIO VALLECAS;CDAD. BARCELONA;ALBUFERA, AV Nº143 FTE ESTADIO VALLECAS CDAD. BARCELONA;444267,7748;4471734,81;SI;54/58/103/136/N10/N25/;444158,2868;4471527,254;-3,657973086;40,39247396
1012;;MARQUESINA MOD XXI 5-M REDUCIDA ;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 0;ESQ C/ PIO FELIPE 200 MTS;AV CIUDAD BARCELONA;ALBUFERA, AV Nº0 ESQ C/ PIO FELIPE 200 MTS CDAD. BARCELONA;444823;4471614;SI;58/103/143/;444713,5091;4471406,436;-3,651420914;40,39142259
1014;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 0;JTO.C/ SANTILLANA DEL MAR Nº 15 (2ºMARQ);AV CIUDAD BARCELONA;ALBUFERA, AV Nº0 JTO.C/ SANTILLANA DEL MAR Nº 15 (2ºMARQ) CIUDAD DE BARCELONA;445304,2358;4471486,448;SI;58/103/143/N25/;445194,7422;4471278,877;-3,645740084;40,39030526
1015;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 252;COLONIA VILLOTA;AV DEMOCRACIA;ALBUFERA, AV Nº252 COLONIA VILLOTA AV DEMOCRACIA;445535,761;4471283,959;SI;58/103/142/143/N25/;445426,2647;4471076,383;-3,642994996;40,38849627
1018;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 0;ESQ AV RAFAEL ALBERTI;AV CIUDAD BARCELONA;ALBUFERA, AV Nº0 ESQ AV RAFAEL ALBERTI CIUDAD DE BARCELONA;445809;4471153;SI;54/58/103/142/143/N25/;445699,5016;4470945,42;-3,639764709;40,38733433
1019;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 0;ANTES Nº 300;AV DEMOCRACIA;ALBUFERA, AV Nº0 ANTES Nº 300 AV DEMOCRACIA;445965;4471025;SI;54/58/103/142/143/N25/;445855,4998;4470817,417;-3,637915978;40,38619135
1021;;MARQUESINA MOD XXI 4-M STD;8;FUENCARRAL - EL PARDO;MONASTERIO DE SILOS;AV;Nº 0;DESP.C/MONASTERIO DE CAAVEIRO;MONASTERIO EL ESCORI;MONASTERIO DE SILOS, AV. Nº0 DESP.C/MONASTERIO DE CAAVEIRO MONASTERIO EL ESCORI;441134,781;4484220,32;SI;134/170/178/N23/;441025,4243;4484012,875;-3,696043993;40,50473396
1024;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;ALBUFERA DE LA ;AV;Nº 323;FTE. COCHERON DE LA VILLA;AV CIUDAD BARCELONA;ALBUFERA, AV Nº323 FTE. COCHERON DE LA VILLA AV CIUDAD BARCELONA;446632,7772;4470679,306;SI;58/103/142/143/N25/;446523,2717;4470471,713;-3,630019905;40,38312015
1028;;MARQUESINA MOD XXI 4-M STD;8;FUENCARRAL - EL PARDO;MONASTERIO DEL ESCORIAL;AV;Nº 0;DESP C/MONASTERIO DE LIEBANA;AV.SANTUARIO DE VALV;MONASTERIO DEL ESCORIAL, AV. Nº DESP C/MONASTERIO DE LIEBANA AV.SANTUARIO DE VALV;441178,652;4484501,994;SI;134/170/178/N23/;441069,2973;4484294,549;-3,695552434;40,5072745
1029;;MARQUESINA MOD XXI 4-M STD;8;FUENCARRAL - EL PARDO;MONASTERIO DEL ESCORIAL;AV;Nº 0;ANT C/MONASTERIO DE CAAVEIRO;AV.SANTUARIO DE VALV;MONASTERIO DEL ESCORIAL, AV. Nº ANT C/MONASTERIO DE CAAVEIRO AV.SANTUARIO DE VALV;441047,0572;4484310,399;SI;134/170/178/N23/;440937,7017;4484102,955;-3,697087662;40,5055392
1032;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;REAL DE ARGANDA;CALLE;Nº 40;ESQ C/ SIERRA DE GOR;CTRA VALENCIA;REAL DE ARGANDA, CALLE Nº40 ESQ C/ SIERRA DE GOR CTRA VALENCIA;447683;4470260;SI;58/N9/;447573,4902;4470052,389;-3,617613262;40,37940934
1034;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;ENRIQUE GARCIA ALVAREZ;CALLE;Nº 2;ESQ C/ REAL DE ARGANDA;ANTONIO SEGOVIA;ENRIQUE GARCIA ALVAREZ, CALLE Nº2 ESQ C/ REAL DE ARGANDA ANTONIO SEGOVIA;448022;4470352;SI;58/N9/;447912,4911;4470144,384;-3,613627381;40,38025935
1037;;MARQUESINA MOD XXI 5-M STD;18;VILLA DE VALLECAS;ENRIQUE GARCIA ALVAREZ;CALLE;Nº 0;FTE Nº 10;C/REAL DE ARGANDA;ENRIQUE GARCIA ALVAREZ, CALLE Nº0 FTE Nº 10 C/REAL DE ARGANDA;447919;4470539;SI;58/;447809,493;4470331,386;-3,614856021;40,38193755
1041;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;MEDITERRANEO;AV;Nº 0;ANT. C/ VIRGEN DE LAS VIÑAS;C/ FUENTESPINA;MEDITERRANEO, AV Nº0 ANT. C/ VIRGEN DE LAS VIÑAS C/ FUENTESPINA;448816;4470573;SI;58/63/;448706,4934;4470365,372;-3,604291763;40,38229942
1043;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;FUENTESPINA;CALLE;Nº 14;ESQ AV STA EUGENIA;REAL DE ARGANDA;FUENTESPINA, CALLE Nº14 ESQ AV STA EUGENIA REAL DE ARGANDA;448516;4470237;SI;58/63/;448406,4901;4470029,376;-3,607798727;40,37925401
1044;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;SANTA EUGENIA;AV;Nº 107;DESP C/ VIRGEN DE LAS VIÑAS;Cº DE VASARES;SANTA EUGENIA, AVD Nº107 DESP C/ VIRGEN DE LAS VIÑAS Cº DE VASARES;448378,8156;4470402,455;SI;58/63/;448269,3073;4470194,834;-3,609428158;40,38073607
1045;;MARQUESINA MOD XXI 4-M STD;18;VILLA DE VALLECAS;SANTA EUGENIA;AV;Nº 47;ESQ C/ PUENTELARRA;ENRIQUE GARCIA;SANTA EUGENIA, AVD Nº47 ESQ C/ PUENTELARRA ENRIQUE GARCIA;448298;4470583;SI;58/63/;448188,4935;4470375,381;-3,610394837;40,38235754
1046;;MARQUESINA MOD XXI 5-M STD;18;VILLA DE VALLECAS;SANTA EUGENIA;AV;Nº 0;Nº 35-39;AV. SANTA EUGENIA;SANTA EUGENIA, AVD Nº0 Nº 35-39 AV. SANTA EUGENIA;448090,7462;4470767,925;SI;58/;447981,2415;4470560,31;-3,612851453;40,38401059
1051;;MARQUESINA MOD XXI 5-M STD;18;VILLA DE VALLECAS;MONTES DE BARBANZA;CALLE;Nº 9;ESQ C/ PICO DE LA CIERVA;REAL DE ARGANDA;MONTES DE BARBANZA,CALLE Nº9 ESQ C/ PICO DE LA CIERVA REAL DE ARGANDA;447557,5168;4470081,945;SI;54/142/103/;447448,0052;4469874,336;-3,619076781;40,37779741
1053;;MARQUESINA MOD XXI 5-M STD;14;MORATALAZ;HACIENDA DE PAVONES;CALLE;Nº 121;ENTRE LOS Nº 121 Y 169;PZA DEL ENCUENTRO;HACIENDA DE PAVONES, CALLE Nº121 ENTRE LOS Nº 121 Y 169 PZA DEL ENCUENTRO;445814;4472842;SI;71/100/;445704,5187;4472634,428;-3,639849616;40,4025503
1056;;MARQUESINA MOD XXI 5-M STD;14;MORATALAZ;FUENTE CARRANTONA;CALLE;Nº 0;ESQ C/ LUIS DE HOYOS SAINZ;SAN BLAS;FUENTE CARRANTONA, CALLE Nº0 ESQ C/ LUIS DE HOYOS SAINZ  SAN BLAS;446278;4472928;SI;100/140/E4/N8/;446168,5181;4472720,422;-3,634389168;40,40335511
1058;;MARQUESINA MOD XXI 4-M REDUCIDA;14;MORATALAZ;FUENTE CARRANTONA;CALLE;Nº 0;FTE Nº35;SAN BLAS;FUENTE CARRANTONA, CALLE Nº FTE Nº35 SAN BLAS;446540;4473343;SI;100/140/E4/;446430,5214;4473135,421;-3,63133664;40,40711057
1076;;MARQUESINA MOD XXI 4-M STD;19;VICALVARO;CALAHORRA;CALLE;Nº 12;FTE. UNIVERSIDAD;Cº Vº VICALVARO;CALAHORRA, CALLE Nº12 FTE. UNIVERSIDAD Cº Vº VICALVARO;448251,1352;4473404,042;SI;4/106/130/N7/;448141,6568;4473196,436;-3,611176338;40,40776859
1077;;MARQUESINA MOD XXI 4-M STD;19;VICALVARO;CALAHORRA;CALLE;Nº 112;ESQ AV DAROCA;Cº Vº VICALVARO;CALAHORRA, CALLE Nº112 ESQ AV DAROCA Cº Vº VICALVARO;448077;4473341;SI;130/;447967,5209;4473133,397;-3,61322335;40,40718982
1078;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;DAROCA;AV;Nº 0;ESQ C/ RICARDO ORTIZ;VICALVARO;DAROCA, AV Nº0 ESQ C/ RICARDO ORTIZ VICALVARO;444298;4475979;SI;106/110/210/N7/;444188,5559;4475771,466;-3,657988753;40,43071025
1081;;MARQUESINA MOD XXI 5-M STD;15;CIUDAD LINEAL;DAROCA;AV;Nº 81;;C/ ALCALA;DAROCA, AV Nº81 - C/ ALCALA;445140,0242;4475633,024;SI;106/N7/;445030,5736;4475425,477;-3,648032478;40,42764945
1082;;MARQUESINA MOD XXI 5-M REDUCIDA ;15;CIUDAD LINEAL;DAROCA;AV;Nº 90;FTE C/ LAGO CONSTANZA;VICALVARO;DAROCA, AV Nº90 FTE C/ LAGO CONSTANZA VICALVARO;445404;4475442;SI;106/N7/;445294,5464;4475234,448;-3,644904262;40,42594595
1083;;MARQUESINA MOD XXI 5-M REDUCIDA ;15;CIUDAD LINEAL;DAROCA;AV;Nº 0;FTE Nº 90;C/ ALCALA;DAROCA, AV Nº0 FTE Nº 90 C/ ALCALA;445390,024;4475483,505;SI;106/N7/;445280,5709;4475275,953;-3,645072577;40,42631894
1084;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;FRANCISCO LARGO CABALLERO;AV;Nº 0;DESP. AV DAROCA;AV. HERMANOS GARCIA NOBLEJAS;FRANCISCO L. CABALLERO, AV. Nº0 DESP. AV DAROCA HERMANOS GARCIA NOBLEJAS;445941,9282;4475123,244;SI;106/N7/;445832,4696;4474915,682;-3,638536085;40,42310953
1085;;MARQUESINA MOD XXI 4-M REDUCIDA;15;CIUDAD LINEAL;DAROCA;AV;Nº 0;ESQ C/ LARGO CABALLERO;C/ ALCALA;DAROCA, AV Nº0 ESQ C/ LARGO CABALLERO C/ ALCALA;445819;4475192;SI;106/N7/;445709,5425;4474984,44;-3,639990956;40,42372093
1086;;MARQUESINA MOD XXI 5-M STD;15;CIUDAD LINEAL;FRANCISCO LARGO CABALLERO;AV;Nº 0;ANT. C/ ARRIGA;AV DAROCA;FRANCISCO L. CABALLERO, AV. Nº0 ANT. C/ ARRIGA AV DAROCA;446025;4475146;SI;106/;445915,5413;4474938,437;-3,637558815;40,42331992
1093;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;BARROS (LOS);CALLE;Nº 0;ESQ C/ VILLUERCAS;RONDA DEL SUR;BARROS (LOS), CALLE Nº0 ESQ C/ VILLUERCAS  RONDA DEL SUR;443510;4469822;SI;102/103/N11/;443400,4936;4469614,447;-3,666731538;40,37519111
1095;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;PEDROCHES;CALLE;Nº 0;ESQ C/ BENAMEJI;C/ LA MANCHA;PEDROCHES, CALLE Nº0 ESQ C/ BENAMEJI C/ LA MANCHA;443379;4470148;SI;103/N11/;443269,4975;4469940,45;-3,668303565;40,37811903
1096;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;MANCHA (LA);CALLE;Nº 0;JTO C/ CARDEÑA;AV ENTREVIAS;MANCHA (LA), CALLE Nº0 JTO C/ CARDEÑA AV ENTREVIAS;443187,435;4470379,044;SI;24/103/111/;443077,9355;4470171,498;-3,670580718;40,38018739
1097;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;MANCHA (LA);CALLE;Nº 1;ESQ AV ENTREVIAS;AV ENTREVIAS;MANCHA (LA), CALLE Nº1  ESQ AV ENTREVIAS AV ENTREVIAS;443324,0398;4470505,381;SI;103/111/;443214,5413;4470297,834;-3,66898277;40,38133481
1098;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;MANCHA (LA);CALLE;Nº 4;ESQ AV ENTREVIAS;RONDA DEL SUR;MANCHA (LA), CALLE Nº4 ESQ AV ENTREVIAS RONDA DEL SUR;443293,7328;4470496,368;SI;103/111/;443184,2343;4470288,821;-3,669338987;40,38125156
1101;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;CARLOS MARTIN ALVAREZ;CALLE;Nº 77;ESQ. AV. SAN DIEGO;AV. ALBUFERA;CARLOS MARTIN ALVAREZ, CALLE Nº77 ESQ. AV. SAN DIEGO AV. ALBUFERA;443543;4470992;SI;103/111/;443433,5062;4470784,451;-3,666446539;40,38573345
1102;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;CARLOS MARTIN ALVAREZ;CALLE;Nº 0;ESQ C/ MARTINEZ DE LA RIVA.;AV ALBUFERA;CARLOS MARTIN ALVAREZ, CALLE Nº0 ESQ C/ MARTINEZ DE LA RIVA. AV ALBUFERA;443691;4471216;SI;103/111/;443581,5082;4471008,45;-3,664722781;40,38776139
1104;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;JAVIER DE MIGUEL;CALLE;Nº 5;ANT C/ CARLOS MARTIN ALVAREZ;C/ MARTINEZ  LA RIVA;JAVIER DE MIGUEL, CALLE Nº5 ANTES C/ CARLOS MARTIN ALVAREZ C/ MARTINEZ  LA RIVA;443795;4471348;SI;103/310/;443685,5093;4471140,449;-3,663509187;40,38895756
1106;;MARQUESINA MOD XXI 5-M STD;13;PUENTE DE VALLECAS;JAVIER DE MIGUEL;CALLE;Nº 0;ESQ C/ ANTONIO FOLGUERAS;MARTINEZ RIVA;JAVIER DE MIGUEL, CALLE Nº0 ESQ C/ ANTONIO FOLGUERAS MARTINEZ RIVA;443995,064;4471240,596;SI;103/310/;443885,5716;4471033,042;-3,661142698;40,38800347
1107;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;PAYASO FOFO;CALLE;Nº 0;FTE Nº 24;AV ALBUFERA;PAYASO FOFO, CALLE Nº0  FTE Nº 24  AV ALBUFERA;444079;4471491;SI;103/;443969,51;4471283,446;-3,660175821;40,39026491
1110;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;PAYASO FOFO;CALLE;Nº 0;ESQ C/ PUERTO MONASTERIO;C/ CANDILEJAS;PAYASO FOFO, CALLE Nº0 ESQ C/ PUERTO MONASTERIO C/ CANDILEJAS;444117,9924;4471696,907;SI;103/;444008,5044;4471489,353;-3,659734503;40,39212247
1113;;MARQUESINA MOD XXI 4-M STD;13;PUENTE DE VALLECAS;IMAGEN;CALLE;Nº 0;FTE Nº 17;AV ENTREVIAS;IMAGEN, CALLE Nº0 FTE Nº 17 AV ENTREVIAS;443465,2976;4470801,368;SI;103/111/144/;443355,802;4470593,82;-3,667345015;40,38401085
1117;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;PIRAMIDES;GTA;Nº 0;FTE  Pº ACACIAS;PZA LEGAZPI;PIRAMIDES, GTA Nº0 FTE  Pº ACACIAS PZA LEGAZPI;439507,3444;4472656,048;SI;18/;439397,8852;4472448,559;-3,714147779;40,40044076
1118;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;YESERIAS;Pº;Nº 0;FTE Nº 33;LEGAZPI;YESERIAS, Pº Nº0 FTE Nº 33 LEGAZPI;439955;4472417;SI;18/N12/;439845,536;4472209,504;-3,708850367;40,3983197
1121;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;CHOPERA (DE LA);Pº;Nº 3;ESQ Pº STA MARIA DE LA CABEZA;Pº YESERIAS;CHOPERA (DE LA), Pº Nº3 ESQ Pº STA MARIA DE LA CABEZA Pº YESERIAS;440508;4472200;SI;18/62/N12/;440398,5309;4471992,497;-3,702314117;40,39640455
1123;;MARQUESINA MOD XXI 4-M REDUCIDA;2;ARGANZUELA;CHOPERA (DE LA);Pº;Nº 45;ANT PZA GRAL MAROTO;Pº YESERIAS;CHOPERA (DE LA), Pº Nº45 ANT PZA GRAL MAROTO Pº YESERIAS;440883,9278;4471846,137;SI;6/18/78/148/N12/N14/;440774,453;4471638,627;-3,697851838;40,39324353
1124;;MARQUESINA MOD XXI 4-M REDUCIDA;2;ARGANZUELA;CHOPERA (DE LA);Pº;Nº 0;ANT PZA LEGAZPI (2ª MARQ);PZA DE LEGAZPI;CHOPERA (DE LA), Pº  ANT PZA LEGAZPI (2ª MARQ) PZA DE LEGAZPI;441041;4471664;SI;6/18/78/148/N12/N14/;440931,5225;4471456,487;-3,695984332;40,39161387
1125;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;CHOPERA (DE LA);Pº;Nº 71;ANT C/ ENRIQUE TROMPETA;Pº YESERIAS;CHOPERA (DE LA), Pº Nº71 ANT C/ ENRIQUE TROMPETA Pº YESERIAS;441042;4471704;SI;6/18/78/148/N12/N14/;440932,5229;4471496,488;-3,695976255;40,39197429
1135;;MARQUESINA MOD XXI 5-M STD;12;USERA;ANDALUCIA;AV;Nº 0;DESP AV DE LOS POBLADOS (1ª MARQ);ANDALUCIA;ANDALUCIA, AV DESP AV DE LOS POBLADOS (1ª MARQ) AV ANDALUCIA;441130;4469306;SI;REFUGIO;441020,4955;4469098,476;-3,694717817;40,37037793
1136;7636;MARQUESINA MOD XXI 5-M STD;12;USERA;ANDALUCIA;AV;Nº 0;FTE AV DE LA PERLA Nº 27;AV SAN FERMIN;ANDALUCIA, AV Nº FTE AV DE LA PERLA Nº 27 AV SAN FERMIN;441168,931;4469287,587;SI;18/22/59/79/85/86/N13/N14/411/421/422/424/447/448/N401/N402/;441059,4261;4469080,063;-3,694257584;40,3702148
1139;;MARQUESINA MOD XXI 5-M STD;17;VILLAVERDE;VERBENA DE LA PALOMA;AV;Nº 8;FTE Nº 5;CIUDAD ANGELES;VERBENA DE LA PALOMA, AVD Nº8 FTE Nº 5 CIUDAD ANGELES;441055;4468216;SI;18/86/N14/;440945,4834;4468008,472;-3,695500384;40,36055325
1142;;MARQUESINA MOD XXI 5-M STD;17;VILLAVERDE;VERBENA DE LA PALOMA;AV;Nº 29;DESP C/LA DEL SOTO DEL PARRAL;CTRA ANDALUCIA;VERBENA DE LA PALOMA, AVD Nº29 DESP C/LA DEL SOTO DEL PARRAL CTRA ANDALUCIA;441023;4467925;SI;18/86/;440913,4802;4467717,472;-3,695850314;40,35792948
1143;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;BOHEMIOS;CALLE;Nº 0;ESQ C/ LA DEL MANOJO DE ROSAS;MANOJO DE ROSAS;BOHEMIOS, CALLE Nº0 ESQ C/ LA DEL MANOJO DE ROSAS MANOJO DE ROSAS;440947,4344;4467762,122;SI;18/86/N14/;440837,9131;4467554,594;-3,696725086;40,35645682
1144;;MARQUESINA MOD XXI 4-M REDUCIDA;17;VILLAVERDE;MANOJO DE ROSAS (LA DEL) ;CALLE;Nº 80;;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº80 - C/ ALCOCER;440839,461;4467588,556;SI;18/86/116/;440729,9381;4467381,028;-3,697980446;40,35488558
1145;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;MANOJO DE ROSAS (LA DEL) ;CALLE;Nº 0;ESQ C/ ANOETA;C/ ALCOCER;MANOJO DE ROSAS (LA DEL),CALLE Nº0 ESQ C/ ANOETA C/ ALCOCER;440764;4467375;SI;18/86/116/N14/;440654,475;4467167,472;-3,698849196;40,35295638
1147;;MARQUESINA MOD XXI 4-M REDUCIDA;17;VILLAVERDE;ALEGRIA DE LA HUERTA;CALLE;Nº 41;PROX. C/ ANOETA;VERBENA PALOMA;ALEGRIA DE LA HUERTA, CALLE Nº41 PROX. C/ ANOETA VERBENA PALOMA;441081;4467428;SI;18/86/116/N14/;440971,4743;4467220,469;-3,695121396;40,35345629
1150;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;MARCELINO CAMACHO;Pº;Nº 35;C/ ANTOLINA MERINO;C/ GENERAL RICARDOS;MARCELINO CAMACHO, Pº Nº35 C/ ANTOLINA MERINO GRAL. RICARDOS;437063,6332;4471166,266;SI;35/N17/;436954,1699;4470958,798;-3,742795286;40,38683892
1152;7602;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;NUESTRA SEÑORA DE FATIMA;AV;Nº 82;FTE CAMPO DE LA MINA;EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº82 FTE CAMPO DE LA MINA EUGENIA MONTIJO;436628,9396;4470689,608;SI;35/N17/481/486/;436519,4735;4470482,142;-3,7478689;40,38251199
1154;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;NUESTRA SEÑORA DE FATIMA;AV;Nº 92;DESP.C/CODORNIZ;C/ EUGENIA MONTIJO;NTRA. SRA. DE FATIMA, AV Nº92 DESP.C/CODORNIZ C/ EUGENIA MONTIJO;436566,6832;4470456,91;SI;35/N17/;436457,2147;4470249,443;-3,748579111;40,38041099
1158;7551;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;CARABANCHEL ALTO;AV;Nº 66;ESQ C/ DE LA PIÑA;LEGANES;CARABANCHEL ALTO, AV Nº66 ESQ C/ DE LA PIÑA LEGANES;436155,809;4469275,869;SI;35/47/N17/481/482/491/492/493/;436046,3287;4469068,401;-3,753300748;40,36974022
1162;;MARQUESINA MOD XXI 5-M REDUCIDA;11;CARABANCHEL;CRUCES (LAS);Cº;Nº 0;FTE Nº 25;JOAQUIN TURINA;CRUCES (LAS), CAMINO Nº0 FTE Nº 25 JOAQUIN TURINA;435557,0986;4469211,216;SI;35/47/N17/;435447,6216;4469003,754;-3,760345699;40,3691117
1163;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;MARIANISTAS;CALLE;Nº 1;ESQ C/ GOMEZ DE ARTECHE;AV. CARABANCHEL ALTO;MARIANISTAS, CALLE Nº1 ESQ C/ GOMEZ DE ARTECHE AV. CARABANCHEL ALTO;435753;4469128;SI;35/47/;435643,5206;4468920,535;-3,758030048;40,36837718
1169;;MARQUESINA MOD XXI 4-M STD;11;CARABANCHEL;PESETA (DE LA);AV;Nº 86;DESP C/ ONCE VIGAS;VIA LUSITANA;PESETA (DE LA), AV Nº86 DESP C/ ONCE VIGAS VIA LUSITANA;436311;4468406;SI;35/118/155/;436201,5079;4468198,526;-3,75138604;40,36191588
1171;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;DELICIAS;Pº;Nº 139;DESP. PLZ. LEGAZPI;GTA. CARLOS V;DELICIAS, Pº Nº139 DESP. PLZ. LEGAZPI GTA. CARLOS V;441146;4471712;SI;19/;441036,5225;4471504,486;-3,694751682;40,39205371
1172;7662;MARQUESINA MOD XXI 5-M STD;17;VILLAVERDE;ANDALUCIA;AV;Nº 0;DESP C/ VERBENA DE LA PALOMA;ANDALUCIA;ANDALUCIA, AV Nº DESP C/ VERBENA DE LA PALOMA  ANDALUCIA;441210,9062;4468213,5;SI;22/59/79/85/411/421/422/424/426/447/448/N401/N402/;441101,3889;4468005,971;-3,693664141;40,36054174
1174;7664;MARQUESINA MOD XXI 5-M STD;17;VILLAVERDE;ANDALUCIA;AV;Nº 0;DESP. C/ BOHEMIOS;AV ANDALUCIA;ANDALUCIA, AV Nº0 DESP. C/ BOHEMIOS AV ANDALUCIA;441239;4467694;SI;22/59/79/85/411/447/448/;441129,4767;4467486,468;-3,693285427;40,35586374
1179;;MARQUESINA MOD XXI 5-M STD;17;VILLAVERDE;BURJASOT;CALLE;Nº 0;ESQ C/ BENIFERRI;C/ GODELLA;BURJASOT, CALLE Nº0 ESQ C/ BENIFERRI C/ GODELLA;441414,011;4466498,912;SI;59/79/N13/;441304,4735;4466291,373;-3,691114816;40,34510994
1181;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;ROCAFORT;CALLE;Nº 0;FTE C/ MONCADA;AV ANDALUCIA;ROCAFORT, CALLE Nº0 FTE C/ MONCADA AV ANDALUCIA;441334,935;4466147,313;SI;59/79/N13/;441225,3938;4465939,774;-3,692013513;40,34193696
1182;;MARQUESINA MOD XXI 5-M STD;2;ARGANZUELA;DELICIAS;Pº;Nº 97;;GTA CARLOS V;DELICIAS, Pº Nº97 - GTA CARLOS V;441174;4472073;SI;8/19/45/47/59/85/86/247/;441064,5262;4471865,488;-3,694455154;40,39530779
1184;F/S 8211;MARQUESINA MOD XXI 5-M REDUCIDA;2;ARGANZUELA;DELICIAS;Pº;Nº 47;;GTA CARLOS V;DELICIAS, Pº Nº47 - GTA CARLOS V;441259;4472892;SI;F/S-6/19/45/47/55/59/85/86/247/N14/N801/N805/N807/;441149,5346;4472684,491;-3,693529249;40,40269181
1188;;MARQUESINA MOD XXI 4-M STD;2;ARGANZUELA;EMBAJADORES;CALLE;Nº 0;ESQ. PZA. BEATA MARIA ANA DE JESUS;M-30;EMBAJADORES, CALLE Nº0 ESQ. PZA. BEATA MARIA ANA DE JESUS M-30;441095;4472032;SI;8/19/45/47/59/85/86/247/;440985,5262;4471824,489;-3,695382171;40,39493285
1189;;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;VIRGEN DESAMPARADOS;CALLE;Nº 4;;C/ ALCOCER;VIRGEN DESAMPARADOS, CALLE Nº4 - C/ ALCOCER;440758;4467192;SI;18/86/116/N14/;440648,4729;4466984,472;-3,698902851;40,35130737
1191;8992;MARQUESINA MOD XXI 5-M REDUCIDA ;17;VILLAVERDE;ALCOCER;CALLE;Nº 0;FTE C/ LITOS;REAL DE PINTO;ALCOCER, CALLE Nº0 FTE C/ LITOS REAL DE PINTO;440572,1082;4467022,829;SI;22/86/130/N14/432/448/;440462,5799;4466815,302;-3,701075926;40,34977015
1192;8991;MARQUESINA MOD XXI 4-M STD;17;VILLAVERDE;ALCOCER;CALLE;Nº 25;;CTRA ANDALUCIA;ALCOCER, CALLE Nº25 - CTRA ANDALUCIA;440674,0158;4466986,646;SI;22/86/130/N14/432/448/;440564,4867;4466779,118;-3,699872649;40,34945145
1193;;MARQUESINA MOD XXI 5-M REDUCIDA;17;VILLAVERDE;ALCOCER;CALLE;Nº 0;JTO APEADERO RENFE;REAL DE PINTO;ALCOCER, CALLE Nº0 JTO APEADERO RENFE REAL DE PINTO;440163;4467057;SI;22/76/86/130/N14/432/448/;440053,4737;4466849,478;-3,705896173;40,35004872
