Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
374;;MARQUESINA MOD XXI 5-M STD;10;LATINA;OLIVA DE PLASENCIA;CALLE;Nº 0;FTE Nº 27;C/ BLAS CABRERA;OLIVA DE PLASENCIA, CALLE  FTE Nº 27 - C/ BLAS CABRERA;434158,332;4470330,919;SI;34/39/138/N19/;434048,8785;4470123,476;-3,776935557;40,3790891
376;;MARQUESINA MOD XXI 5-M STD;11;CARABANCHEL;EUGENIA DE MONTIJO;CALLE;Nº 0;FTE  Nº 116 (1ª MARQ);C/ GENERAL RICARDOS;EUGENIA DE MONTIJO, CALLE  FTE Nº 116 (1ª MARQ) - GRAL RICARDOS;436350;4469750;SI;REFUGIO;436240,5242;4469542,532;-3,751060954;40,37402628
378;7546;MARQUESINA MOD XXI 4-M REDUCIDA;11;CARABANCHEL;EUGENIA DE MONTIJO;CALLE;Nº 87;ANT C/ DOCTOR JERONIMO IBORRA (1ª MARQ);AV. DE LOS POBLADOS;EUGENIA DE MONTIJO, CALLE Nº87 ANT C/ DOCTOR JERONIMO IBORRA (1ª MARQ) - AV DE LOS POBLADOS;436374;4469862;SI;REFUGIO;436264,5254;4469654,532;-3,750789451;40,37503706
379;7545;MARQUESINA MOD XXI 5-M STD;11;CARABANCHEL;EUGENIA DE MONTIJO;CALLE;Nº 100;DESP RONDA DON BOSCO (2ª MARQ);AV DE CARABANCHEL ALTO;EUGENIA DE MONTIJO, CALLE Nº100 DESP RONDA DON BOSCO (2ª MARQ) - AV. DE CARABANCHEL ALTO ;436353;4469884;SI;35/147/N17/481/482/486/491/492/493/;436243,5259;4469676,533;-3,751039;40,37523364
383;;MARQUESINA MOD XXI 4-M STD;15;CIUDAD LINEAL;ULISES;CALLE;Nº 2;DESP C/ARTURO SORIA;C/MOSCATELAR;ULISES, CALLE Nº2 DESP C/ARTURO SORIA - C/ MOSCATELAR;444489,1276;4478783,969;SI;120/122/;444379,7094;4478576,448;-3,655980889;40,45599178
385;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;MOSCATELAR;CALLE;Nº 0;JTO Nº 26 DE C/ ULISES;C/SILVANO;MOSCATELAR, CALLE  JTO Nº 26 DE C/ ULISES - C/ SILVANO;444693,7708;4478894,243;SI;120/122/;444584,3528;4478686,719;-3,653577118;40,45699883
388;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;MOSCATELAR;CALLE;Nº 0;ESQ C/ PARMA;C/ ARTURO SORIA;MOSCATELAR, CALLE ANT C/ PARMA - C/ ARTURO SORIA;445060,6868;4478914,245;SI;120/122/;444951,2675;4478706,716;-3,649251692;40,45720336
390;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;MOSCATELAR;CALLE;Nº 31;ANTES C/ PLAZA;C/ ARTURO SORIA;MOSCATELAR, CALLE Nº31 ANT C/ PLAZA - C/ ARTURO SORIA;445268;4478921;SI;120/122/;445158,58;4478713,468;-3,646807353;40,45727789
391;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;SILVANO;CALLE;Nº 0;DESP PZA LICEO;M - 40;SILVANO, CALLE DESP PZA LICEO - M-40;445524,5108;4478978,075;SI;120/122/;445415,0903;4478770,54;-3,643787124;40,45780891
394;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;SILVANO;CALLE;Nº 0;FTE LICEO FRANCES;C/ MOSCATELAR;SILVANO, CALLE FTE LICEO FRANCES - C/ MOSCATELAR;445623,6706;4479171,476;SI;120/122/;445514,2514;4478963,941;-3,642634266;40,45955767
