TIPO DATO;TIPO  SITUADO;DISTRITO;DIRECCION COMPLETA;CLASE_VIAL;NOMBRE_VIAL;NUM;COORDENADA X;COORDENADA Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA
Contenedor de aceite;Vía Pública;San Blas - Canillejas;Calle San Román del valle,  s/n ;Calle;San Román del valle; s/n;447323,4681;4474489,563;40,41936664;-3,620925631;Calle San Román del valle,  s/n 
Contenedor de aceite;Vía Pública;San Blas - Canillejas;Calle Castillo de Uclés, 26 c/v  Calle  Altas Torres;Calle;Castillo de Uclés;26;446951,383;4475435,232;40,42786217;-3,62539024;Calle Castillo de Uclés, 26 c/v  Calle  Altas Torres c/v  Calle  Altas Torres
Contenedor de aceite;Dependencias Municipales;San Blas - Canillejas;Calle Arcos de Jalón, 59 ;Calle;Arcos de Jalón;59;448142,8;4475530,2;40,42879282;-3,611353136;Calle Arcos de Jalón, 59  C.D.M SAN BLAS
Contenedor de aceite;Punto Limpio Fijo;San Blas - Canillejas;Calle San Romualdo, 10 ;Calle;San Romualdo;10;447149,0043;4,47685E+16;40,44060101;-3,623178093;Calle San Romualdo, 10  PUNTO LIMPIO FIJO SAN BLAS
Contenedor de aceite;Vía Pública;Tetuán;Avenida Asturias,  s/n ;Avenida;Asturias; s/n;441283,2307;4,47992E+16;40,46785612;-3,692622055;Avenida Asturias,  s/n 
Contenedor de aceite;Vía Pública;Tetuán;Calle Orense, 5 ;Calle;Orense;5;441013,349;4,47765E+16;40,44738828;-3,69559442;Calle Orense, 5 
Contenedor de aceite;Vía Pública;Tetuán;Calle Ceuta, 3 ;Calle;Ceuta;3;440740,7015;4,47927E+16;40,46194405;-3,698960381;Calle Ceuta, 3 
Contenedor de aceite;Vía Pública;Usera;Avenida Orcasur,  s/n ;Avenida;Orcasur; s/n;440543,4679;4,46885E+14;40,36809096;-3,700312984;Avenida Orcasur,  s/n 
Contenedor de aceite;Vía Pública;Usera;Calle Guetaria, 47 Esquina con Calle Villbona;Calle;Guetaria;47;439239,1717;4,46899E+16;40,36925375;-3,715687901;Calle Guetaria, 47 Esquina con Calle Villbona Esquina con Calle Villbona
Contenedor de aceite;Mercados Y Galerias;Usera;Calle Villabona, 2 ;Calle;Villabona;2;439266,6;44689502;40,36891637;-3,715361264;Calle Villabona, 2  MERCADO MUNICIPAL ORCASITAS
Contenedor de aceite;Punto Limpio Fijo;Usera;Calle Cristo de la Victoria, 245 ;Calle;Cristo de la Victoria;245;439780,0045;4,47002E+16;40,37862601;-3,709415892;Calle Cristo de la Victoria, 245  PUNTO LIMPIO FIJO USERA
Contenedor de aceite;Vía Pública;Vicálvaro;Calle Pedernal, 1 ;Calle;Pedernal;1;449230,2794;4,47296E+16;40,40566459;-3,598327817;Calle Pedernal, 1 
Contenedor de aceite;Vía Pública;Vicálvaro;Calle San Cipriano, 32 ;Calle;San Cipriano;32;448582,4066;4,4728E+16;40,40421;-3,60595;Calle San Cipriano, 32 
Contenedor de aceite;Vía Pública;Vicálvaro;Calle Calahorra, 17 ;Calle;Calahorra;17;447966,5115;4,47311E+14;40,40694222;-3,613232992;Calle Calahorra, 17 
Contenedor de aceite;Mercados Y Galerias;Vicálvaro;Calle San Cipriano, 11 ;Calle;San Cipriano;11;453159,67;447303412;40,4040797;-3,6079359;Calle San Cipriano, 11  MERCADO MUNICIPAL DE VICÁLVARO
Contenedor de aceite;Punto Limpio Fijo;Vicálvaro;Calle Sepiolita, 6 ;Calle;Sepiolita;6;448413,7935;4,47279E+16;40,40680201;-3,598730093;Calle Sepiolita, 6  PUNTO LIMPIO FIJO VICÁLVARO
Contenedor de aceite;Vía Pública;Villa de Vallecas;Calle Enrique García Álvarez, 5 ;Calle;Enrique García Álvarez;5;447866,8245;4,4702E+16;40,38077;-3,61417;Calle Enrique García Álvarez, 5 
Contenedor de aceite;Vía Pública;Villa de Vallecas;Avenida Suertes, 62 ;Avenida;Suertes;62;449022,0468;4,46873E+16;40,36754425;-3,600443236;Avenida Suertes, 62 
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Paseo  Federico García Lorca, 12 ;Paseo; Federico García Lorca;12;447264,1025;4,46984E+16;40,37745;-3,62124;Paseo  Federico García Lorca, 12  JUNTA MUNICIPAL DISTRITO DE VILLA DE VALLECAS
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Peña Veiga, 6 ;Calle;Peña Veiga;6;447105,2903;4,46983E+16;40,37736;-3,62311;Calle Peña Veiga, 6  C.S.S PEÑA VEIGA
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Pico Mampodre, 6 ;Calle;Pico Mampodre;6;447094,5;4,46982E+16;40,37726369;-3,623236216;Calle Pico Mampodre, 6  CENTRO DE MAYORES VILLA DE VALLECAS
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Zazuar, 4 ;Calle;Zazuar;4;448540,0337;4,47046E+16;40,3831;-3,60626;Calle Zazuar, 4  CENTRO CULTURAL ZAZUAR
Contenedor de aceite;Dependencias Municipales;Villa de Vallecas;Calle Cerro Almodovar, 9 ;Calle;Cerro Almodovar;9;448853,9365;4,47043E+16;40,38289;-3,60256;Calle Cerro Almodovar, 9  C.D.M CERRO ALMODOVAR
Contenedor de aceite;Punto Limpio Fijo;Villa de Vallecas;Calle Luis I, 36 ;Calle;Luis I;36;445357,002;4,4697E+13;40,37607401;-3,643692793;Calle Luis I, 36  PUNTO LIMPIO FIJO VILLA DE VALLECAS
