TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;01;08;FUENCARRAL;088;EL GOLOSO;CALLE DEL MONASTERIO DE CAAVEIRO, 10;CALLE;DEL;MONASTERIO DE CAAVEIRO;Número;10;440939.7821;4484057.601;40.50513078;-3.69705888;CALLE DEL MONASTERIO DE CAAVEIRO, 10;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;AVENIDA DEL CAMPO DE CALATRAVA, 5;AVENIDA;DEL;CAMPO DE CALATRAVA;Número;5;441287.8006;4483542.401;40.50051437;-3.69290391;AVENIDA DEL CAMPO DE CALATRAVA, 5;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;CALLE DE TOQUES, 15;CALLE;DE;TOQUES;Número;15;443292.8101;4484426.946;40.50862216;-3.66932215;CALLE DE TOQUES, 15;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;PASEO DE SAN MILLAN DE LA COGOLLA, 5;PASEO;DE;SAN MILLAN DE LA COGOLLA;Número;5;443204.1645;4483921.09;40.50405914;-3.67032301;PASEO DE SAN MILLAN DE LA COGOLLA, 5;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;CALLE DE ANTONIORROBLES, 8;CALLE;DE;ANTONIORROBLES;Número;8;441410.4749;4482090.712;40.4874457;-3.69132202;CALLE DE ANTONIORROBLES, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;087;MIRASIERRA;CALLE DE NURIA, 63;CALLE;DE;NURIA;Número;63;439932.9179;4482825.789;40.49396193;-3.70882474;CALLE DE NURIA, 63;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;087;MIRASIERRA;AVENIDA DEL VENTISQUERO DE LA CONDESA, 31;AVENIDA;DEL;VENTISQUERO DE LA CONDESA;Número;31;439308.7596;4482395.612;40.49004134;-3.71614841;AVENIDA DEL VENTISQUERO DE LA CONDESA, 31;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;087;MIRASIERRA;AVENIDA DEL VENTISQUERO DE LA CONDESA, 32;AVENIDA;DEL;VENTISQUERO DE LA CONDESA;Número;32;439289.6774;4482688.246;40.49267609;-3.7164016;AVENIDA DEL VENTISQUERO DE LA CONDESA, 32;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;087;MIRASIERRA;CALLE DE NURIA, 26;CALLE;DE;NURIA;Número;26;440256.4638;4482575.314;40.49172891;-3.70498338;CALLE DE NURIA, 26;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;AVENIDA DEL CARDENAL HERRERA ORIA, 8;AVENIDA;DEL;CARDENAL HERRERA ORIA;Número;8;441768.0081;4482499.875;40.49115675;-3.68714122;AVENIDA DEL CARDENAL HERRERA ORIA, 8;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;086;VALVERDE;CALLE DE FEDERICO MOMPOU, 2;CALLE;DE;FEDERICO MOMPOU;Número;2;442490.4773;4484628.357;40.51038131;-3.67880986;CALLE DE FEDERICO MOMPOU, 2;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;088;EL GOLOSO;CALLE DEL MONASTERIO DE OSEIRA, 28;CALLE;DEL;MONASTERIO DE OSEIRA;Número;28;441145.0237;4484795.909;40.5117963;-3.69470531;CALLE DEL MONASTERIO DE OSEIRA, 28;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;088;EL GOLOSO;CALLE DEL MONASTERIO DE GUADALUPE, 7;CALLE;DEL;MONASTERIO DE GUADALUPE;Número;7;440279.218;4484235.852;40.50668924;-3.70487145;CALLE DEL MONASTERIO DE GUADALUPE, 7;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE RAMON GOMEZ DE LA SERNA, 79;CALLE;DE;RAMON GOMEZ DE LA SERNA;Número;79;438206.542;4481748.712;40.48413254;-3.72909038;CALLE DE RAMON GOMEZ DE LA SERNA, 79;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE ROSALIA DE CASTRO, 51;CALLE;DE;ROSALIA DE CASTRO;Número;51;437777.0824;4481607.121;40.48282498;-3.7341432;CALLE DE ROSALIA DE CASTRO, 51;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE RAMON GOMEZ DE LA SERNA, 60;CALLE;DE;RAMON GOMEZ DE LA SERNA;Número;60;438417.6987;4481499.425;40.48190257;-3.72657495;CALLE DE RAMON GOMEZ DE LA SERNA, 60;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE MIGUEL ARACIL, 47;CALLE;DE;MIGUEL ARACIL;Número;47;438511.2566;4480790.5;40.47552328;-3.72540245;CALLE DE MIGUEL ARACIL, 47;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;083;PEÑAGRANDE;CALLE DE JOAQUIN JORGE ALARCON, 24;CALLE;DE;JOAQUIN JORGE ALARCON;Número;24;438404.2458;4480948.006;40.47693422;-3.7266801;CALLE DE JOAQUIN JORGE ALARCON, 24;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;084;PILAR;CALLE DE GINZO DE LIMIA, 51;CALLE;DE;GINZO DE LIMIA;Número;51;439973.0106;4481803.472;40.48475543;-3.70825484;CALLE DE GINZO DE LIMIA, 51;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;085;LA PAZ;CALLE DE FERMIN CABALLERO, 52;CALLE;DE;FERMIN CABALLERO;Número;52;440123.1345;4481770.547;40.48446968;-3.70648055;CALLE DE FERMIN CABALLERO, 52;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;084;PILAR;CALLE DEL PINTOR FRANCISCO LLORENS, 2;CALLE;DEL;PINTOR FRANCISCO LLORENS;Número;2;439936.174;4481540.203;40.48238115;-3.70866449;CALLE DEL PINTOR FRANCISCO LLORENS, 2;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;01;08;FUENCARRAL;085;LA PAZ;CALLE DE ALFREDO MARQUERIE, 1;CALLE;DE;ALFREDO MARQUERIE;Número;1;440972.3824;4481961.245;40.48624837;-3.69647883;CALLE DE ALFREDO MARQUERIE, 1;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
